sample_id,phase,split,action,category,n_picks,has_correct_pick,all_picks_correct,min_cal_conf,max_cal_conf,reason_codes
XO.LT17..HH.2018.05.19.02.03.22,S,main,ABSTAIN,CONSENSUS_WITHOUT_ADMISSIBLE_FUSION,3,True,False,0.697,0.849,MODEL_CONSENSUS|FUSION_CALIBRATED_CONFIDENCE_BELOW_FLOOR|FUSION_NOT_ALLOWED|CONSENSUS_WITHOUT_ADMISSIBLE_FUSION
XO.LT18..HH.2018.05.19.02.03.22,P,holdout,FUSE,AUTO_FUSE,3,True,True,0.705,0.928,FUSE_CONSENSUS_CLUSTER
XO.LT18..HH.2018.05.19.02.03.22,S,holdout,ABSTAIN,NO_DECISIVE_EVIDENCE_BETWEEN_MODELS,2,True,False,0.705,0.832,NO_DECISIVE_EVIDENCE_BETWEEN_MODELS
XO.LT12..HH.2018.05.19.17.46.44,P,main,FUSE,AUTO_FUSE,3,True,True,0.847,0.895,FUSE_CONSENSUS_CLUSTER
XO.LT12..HH.2018.05.19.17.46.44,S,main,FUSE,AUTO_FUSE,3,True,True,0.847,0.895,FUSE_CONSENSUS_CLUSTER
XO.LT14..HH.2018.05.19.17.46.44,P,main,FUSE,AUTO_FUSE,3,True,False,0.798,0.938,FUSE_CONSENSUS_CLUSTER
XO.LT14..HH.2018.05.19.17.46.44,S,main,FUSE,AUTO_FUSE,3,True,True,0.798,0.938,FUSE_CONSENSUS_CLUSTER
XO.LT20..HH.2018.05.19.19.23.05,P,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.845,0.947,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LT20..HH.2018.05.19.19.23.05,S,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.845,0.947,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LT17..HH.2018.05.19.22.03.45,P,main,FUSE,AUTO_FUSE,3,True,True,0.781,0.9,FUSE_CONSENSUS_CLUSTER
XO.LT17..HH.2018.05.19.22.03.45,S,main,FUSE,AUTO_FUSE,3,True,True,0.781,0.9,FUSE_CONSENSUS_CLUSTER
XO.LT17..HH.2018.05.20.00.22.24,P,main,FUSE,AUTO_FUSE,3,True,False,0.777,0.883,FUSE_CONSENSUS_CLUSTER
XO.LT17..HH.2018.05.20.00.22.24,S,main,FUSE,AUTO_FUSE,3,True,True,0.777,0.883,FUSE_CONSENSUS_CLUSTER
XO.LT20..HH.2018.05.20.00.22.19,P,holdout,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.84,0.95,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LT20..HH.2018.05.20.00.22.19,S,holdout,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.84,0.95,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LA25..HH.2018.05.21.03.48.10,P,holdout,ABSTAIN,NO_DECISIVE_EVIDENCE_BETWEEN_MODELS,3,True,False,0.478,0.949,NO_DECISIVE_EVIDENCE_BETWEEN_MODELS
XO.LA25..HH.2018.05.21.03.48.10,S,holdout,ABSTAIN,NO_DECISIVE_EVIDENCE_BETWEEN_MODELS,3,True,False,0.478,0.949,NO_DECISIVE_EVIDENCE_BETWEEN_MODELS
XO.LT10..HH.2018.05.21.03.48.30,S,main,FUSE,AUTO_FUSE,3,True,True,0.744,0.837,FUSE_CONSENSUS_CLUSTER
XO.LT14..HH.2018.05.21.04.42.07,P,main,FUSE,AUTO_FUSE,3,True,True,0.841,0.873,FUSE_CONSENSUS_CLUSTER
XO.LT14..HH.2018.05.21.04.42.07,S,main,FUSE,AUTO_FUSE,3,True,True,0.841,0.873,FUSE_CONSENSUS_CLUSTER
XO.LA30..HH.2018.05.21.04.42.52,S,main,ABSTAIN,CONSENSUS_WITHOUT_ADMISSIBLE_FUSION,3,True,True,0.694,0.834,MODEL_CONSENSUS|FUSION_CALIBRATED_CONFIDENCE_BELOW_FLOOR|FUSION_NOT_ALLOWED|CONSENSUS_WITHOUT_ADMISSIBLE_FUSION
XO.LA33..HH.2018.05.21.19.58.59,P,main,FUSE,AUTO_FUSE,3,True,True,0.854,0.915,FUSE_CONSENSUS_CLUSTER
XO.LA33..HH.2018.05.21.19.58.59,S,main,FUSE,AUTO_FUSE,3,True,False,0.854,0.915,FUSE_CONSENSUS_CLUSTER
XO.LT18..HH.2018.05.22.23.57.53,P,main,ABSTAIN,NO_DECISIVE_EVIDENCE_BETWEEN_MODELS,3,True,True,0.849,0.945,NO_DECISIVE_EVIDENCE_BETWEEN_MODELS
XO.LT18..HH.2018.05.22.23.57.53,S,main,FUSE,AUTO_FUSE,3,True,True,0.849,0.945,FUSE_CONSENSUS_CLUSTER
XO.LT17..HH.2018.05.22.23.57.56,P,main,FUSE,AUTO_FUSE,2,True,False,0.777,0.853,FUSE_CONSENSUS_CLUSTER
XO.LT17..HH.2018.05.22.23.57.56,S,main,FUSE,AUTO_FUSE,3,True,True,0.777,0.901,FUSE_CONSENSUS_CLUSTER
XO.LT18..HH.2018.05.22.05.23.43,P,main,FUSE,AUTO_FUSE,3,True,True,0.851,0.956,FUSE_CONSENSUS_CLUSTER
XO.LT18..HH.2018.05.22.05.23.43,S,main,FUSE,AUTO_FUSE,3,True,True,0.851,0.956,FUSE_CONSENSUS_CLUSTER
XO.LT18..HH.2018.05.22.11.57.00,P,main,FUSE,AUTO_FUSE,3,True,True,0.858,0.953,FUSE_CONSENSUS_CLUSTER
XO.LT18..HH.2018.05.22.11.57.00,S,main,FUSE,AUTO_FUSE,3,True,True,0.858,0.953,FUSE_CONSENSUS_CLUSTER
XO.LT13..HH.2018.05.22.11.57.14,P,main,ABSTAIN,CONSENSUS_WITHOUT_ADMISSIBLE_FUSION,2,True,False,0.483,0.689,MODEL_CONSENSUS|FUSION_CALIBRATED_CONFIDENCE_BELOW_FLOOR|FUSION_NOT_ALLOWED|CONSENSUS_WITHOUT_ADMISSIBLE_FUSION
XO.LT14..HH.2018.05.23.05.00.54,P,main,FUSE,AUTO_FUSE,3,True,True,0.824,0.913,FUSE_CONSENSUS_CLUSTER
XO.LT15..HH.2018.05.23.00.51.43,S,main,ABSTAIN,CONSENSUS_WITHOUT_ADMISSIBLE_FUSION,3,True,True,0.429,0.82,MODEL_CONSENSUS|FUSION_CALIBRATED_CONFIDENCE_BELOW_FLOOR|FUSION_NOT_ALLOWED|CONSENSUS_WITHOUT_ADMISSIBLE_FUSION
XO.LA25..HH.2018.05.23.00.51.49,P,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,2,True,True,0.866,0.926,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LD36..HH.2018.05.23.00.51.50,P,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.855,0.944,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LD41..HH.2018.05.24.03.19.38,P,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,False,False,0.819,0.935,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LD41..HH.2018.05.24.03.19.38,S,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.819,0.935,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LD41..HH.2018.05.24.12.30.13,P,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,False,0.671,0.86,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LD41..HH.2018.05.24.12.30.13,S,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,False,0.671,0.86,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LT20..HH.2018.05.25.06.03.39,P,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,False,False,0.623,0.797,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LT20..HH.2018.05.25.06.03.39,S,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,2,True,False,0.623,0.797,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LD45..HH.2018.05.25.06.30.42,P,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.836,0.945,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LA26..HH.2018.05.25.06.30.46,P,main,ABSTAIN,NO_DECISIVE_EVIDENCE_BETWEEN_MODELS,2,True,False,0.846,0.918,NO_DECISIVE_EVIDENCE_BETWEEN_MODELS
XO.LA34..HH.2018.05.25.06.30.56,S,main,FUSE,AUTO_FUSE,3,True,True,0.84,0.89,FUSE_CONSENSUS_CLUSTER
XO.LA29..HH.2018.05.25.06.30.57,S,main,FUSE,AUTO_FUSE,3,True,True,0.781,0.894,FUSE_CONSENSUS_CLUSTER
XO.LD41..HH.2018.05.25.04.54.19,P,holdout,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,False,0.684,0.814,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LD41..HH.2018.05.25.05.36.36,P,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.725,0.791,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LT04..HH.2018.05.25.08.10.32,P,main,FUSE,AUTO_FUSE,2,True,True,0.831,0.846,FUSE_CONSENSUS_CLUSTER
XO.LT04..HH.2018.05.25.08.10.32,S,main,ABSTAIN,CONSENSUS_WITHOUT_ADMISSIBLE_FUSION,3,True,True,0.688,0.846,MODEL_CONSENSUS|FUSION_CALIBRATED_CONFIDENCE_BELOW_FLOOR|FUSION_NOT_ALLOWED|CONSENSUS_WITHOUT_ADMISSIBLE_FUSION
XO.LT04..HH.2018.05.25.08.40.15,P,main,FUSE,AUTO_FUSE,3,True,True,0.865,0.956,FUSE_CONSENSUS_CLUSTER
XO.LT04..HH.2018.05.25.08.40.15,S,main,FUSE,AUTO_FUSE,3,True,True,0.865,0.956,FUSE_CONSENSUS_CLUSTER
XO.LT18..HH.2018.05.26.11.55.24,P,main,FUSE,AUTO_FUSE,3,True,True,0.845,0.946,FUSE_CONSENSUS_CLUSTER
XO.LT18..HH.2018.05.26.11.55.24,S,main,FUSE,AUTO_FUSE,2,True,True,0.845,0.895,FUSE_CONSENSUS_CLUSTER
XO.LD44..HH.2018.05.26.11.58.59,P,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.741,0.881,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LA33..HH.2018.05.26.11.59.11,P,main,FUSE,AUTO_FUSE,3,True,True,0.825,0.873,FUSE_CONSENSUS_CLUSTER
XO.LD38..HH.2018.05.26.19.37.24,P,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.835,0.94,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LD38..HH.2018.05.26.19.37.24,S,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.835,0.94,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LD41..HH.2018.05.26.10.39.55,P,holdout,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.816,0.941,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LD40..HH.2018.05.26.14.57.05,S,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.771,0.871,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LD41..HH.2018.05.27.16.25.34,P,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.832,0.913,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LA23..HH.2018.05.27.18.30.11,P,main,FUSE,AUTO_FUSE,3,True,False,0.826,0.941,FUSE_CONSENSUS_CLUSTER
XO.LA23..HH.2018.05.27.18.30.11,S,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,1,True,True,0.826,0.826,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LT06..HH.2018.05.27.18.30.20,P,holdout,FUSE,AUTO_FUSE,3,True,True,0.848,0.95,FUSE_CONSENSUS_CLUSTER
XO.LA29..HH.2018.05.27.18.30.30,P,main,FUSE,AUTO_FUSE,3,False,False,0.854,0.945,FUSE_CONSENSUS_CLUSTER
XO.LT20..HH.2018.05.27.14.38.01,S,holdout,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.852,0.92,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LA32..HH.2018.05.28.07.33.19,P,holdout,ABSTAIN,CONSENSUS_WITHOUT_ADMISSIBLE_FUSION,3,True,False,0.38,0.867,MODEL_CONSENSUS|MODEL_OUTLIER_DETECTED|FUSION_CALIBRATED_CONFIDENCE_BELOW_FLOOR|FUSION_NOT_ALLOWED|CONSENSUS_WITHOUT_ADMISSIBLE_FUSION
XO.LT20..HH.2018.05.28.07.32.51,P,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.837,0.944,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LT20..HH.2018.05.28.07.32.51,S,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,False,0.837,0.944,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LD40..HH.2018.05.28.04.25.32,S,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.698,0.845,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LT01..HH.2018.05.28.08.07.29,S,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,False,False,0.629,0.862,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LD41..HH.2018.05.28.12.50.00,S,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,False,0.723,0.83,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LA39..HH.2018.05.28.12.49.32,S,holdout,FUSE,AUTO_FUSE,3,True,False,0.671,0.886,FUSE_CONSENSUS_CLUSTER
XO.LD38..HH.2018.05.29.03.57.24,P,main,ABSTAIN,CONSENSUS_WITHOUT_ADMISSIBLE_FUSION,4,True,True,0.635,0.955,MODEL_CONSENSUS|FUSION_CALIBRATED_CONFIDENCE_BELOW_FLOOR|FUSION_NOT_ALLOWED|CONSENSUS_WITHOUT_ADMISSIBLE_FUSION
XO.LD38..HH.2018.05.29.03.57.24,S,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.85,0.955,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LT20..HH.2018.05.29.21.25.20,P,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.839,0.946,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LT20..HH.2018.05.29.21.25.20,S,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.839,0.946,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LT06..HH.2018.05.29.04.40.08,P,main,FUSE,AUTO_FUSE,3,True,True,0.84,0.92,FUSE_CONSENSUS_CLUSTER
XO.LT06..HH.2018.05.29.04.40.08,S,main,FUSE,AUTO_FUSE,3,True,True,0.84,0.92,FUSE_CONSENSUS_CLUSTER
XO.LT04..HH.2018.05.29.04.40.11,P,main,FUSE,AUTO_FUSE,3,True,True,0.858,0.953,FUSE_CONSENSUS_CLUSTER
XO.LT04..HH.2018.05.29.04.40.11,S,main,FUSE,AUTO_FUSE,3,True,True,0.858,0.953,FUSE_CONSENSUS_CLUSTER
XO.LT07..HH.2018.05.29.04.40.03,P,main,FUSE,AUTO_FUSE,3,True,True,0.844,0.938,FUSE_CONSENSUS_CLUSTER
XO.LT07..HH.2018.05.29.04.40.03,S,main,FUSE,AUTO_FUSE,3,True,True,0.844,0.938,FUSE_CONSENSUS_CLUSTER
XO.LA39..HH.2018.05.29.10.05.54,P,main,FUSE,AUTO_FUSE,3,True,True,0.848,0.949,FUSE_CONSENSUS_CLUSTER
XO.LA39..HH.2018.05.29.10.05.54,S,main,FUSE,AUTO_FUSE,3,True,True,0.848,0.949,FUSE_CONSENSUS_CLUSTER
XO.LT16..HH.2018.05.30.02.35.18,P,main,FUSE,AUTO_FUSE,3,True,True,0.84,0.938,FUSE_CONSENSUS_CLUSTER
XO.LA26..HH.2018.05.30.02.35.28,P,holdout,FUSE,AUTO_FUSE,3,True,True,0.809,0.94,FUSE_CONSENSUS_CLUSTER
XO.LA26..HH.2018.05.30.02.35.28,S,holdout,FUSE,AUTO_FUSE,3,True,True,0.809,0.94,FUSE_CONSENSUS_CLUSTER
XO.LT20..HH.2018.05.30.02.35.41,P,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.805,0.874,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LA39..HH.2018.05.30.05.12.11,S,main,FUSE,AUTO_FUSE,3,True,True,0.82,0.905,FUSE_CONSENSUS_CLUSTER
XO.LD41..HH.2018.05.30.20.36.25,P,holdout,ABSTAIN,CONSENSUS_WITHOUT_ADMISSIBLE_FUSION,4,False,False,0.592,0.953,MODEL_CONSENSUS|FUSION_CALIBRATED_CONFIDENCE_BELOW_FLOOR|FUSION_NOT_ALLOWED|CONSENSUS_WITHOUT_ADMISSIBLE_FUSION
XO.LA39..HH.2018.05.30.08.25.25,S,main,FUSE,AUTO_FUSE,3,False,False,0.55,0.81,FUSE_CONSENSUS_CLUSTER
XO.LT01..HH.2018.05.30.09.48.51,S,main,FUSE,AUTO_FUSE,3,True,True,0.759,0.821,FUSE_CONSENSUS_CLUSTER
XO.LA39..HH.2018.05.30.10.57.15,P,main,FUSE,AUTO_FUSE,3,True,True,0.851,0.951,FUSE_CONSENSUS_CLUSTER
XO.LA39..HH.2018.05.30.10.57.15,S,main,FUSE,AUTO_FUSE,3,True,True,0.851,0.951,FUSE_CONSENSUS_CLUSTER
XO.LD41..HH.2018.05.30.15.34.41,P,holdout,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.742,0.855,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LA39..HH.2018.05.30.19.04.27,P,main,FUSE,AUTO_FUSE,3,True,True,0.861,0.945,FUSE_CONSENSUS_CLUSTER
XO.LA39..HH.2018.05.30.19.04.27,S,main,FUSE,AUTO_FUSE,3,True,True,0.861,0.945,FUSE_CONSENSUS_CLUSTER
XO.LA39..HH.2018.05.30.21.27.46,S,main,FUSE,AUTO_FUSE,3,True,True,0.853,0.914,FUSE_CONSENSUS_CLUSTER
XO.LT04..HH.2018.05.31.01.58.18,P,main,ABSTAIN,NO_DECISIVE_EVIDENCE_BETWEEN_MODELS,3,True,False,0.785,0.819,NO_DECISIVE_EVIDENCE_BETWEEN_MODELS
XO.LD40..HH.2018.05.31.08.14.27,P,holdout,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.852,0.939,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LT06..HH.2018.05.31.10.11.26,S,main,FUSE,AUTO_FUSE,3,True,True,0.767,0.786,FUSE_CONSENSUS_CLUSTER
XO.LD40..HH.2018.05.31.19.02.50,P,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,False,0.668,0.771,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LD40..HH.2018.05.31.19.02.50,S,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,False,0.668,0.771,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LT18..HH.2018.05.31.17.51.09,P,main,FUSE,AUTO_FUSE,3,True,True,0.846,0.925,FUSE_CONSENSUS_CLUSTER
XO.LT18..HH.2018.05.31.17.51.09,S,main,ABSTAIN,NO_DECISIVE_EVIDENCE_BETWEEN_MODELS,3,True,True,0.846,0.925,NO_DECISIVE_EVIDENCE_BETWEEN_MODELS
XO.LD41..HH.2018.05.25.12.35.29,P,holdout,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,False,False,0.756,0.914,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LT04..HH.2018.05.25.12.35.31,P,main,ABSTAIN,NO_DECISIVE_EVIDENCE_BETWEEN_MODELS,3,True,False,0.803,0.837,NO_DECISIVE_EVIDENCE_BETWEEN_MODELS
XO.LT04..HH.2018.05.25.12.35.31,S,main,FUSE,AUTO_FUSE,3,True,False,0.803,0.837,FUSE_CONSENSUS_CLUSTER
XO.LT01..HH.2018.05.25.23.04.56,S,main,FUSE,AUTO_FUSE,3,True,True,0.707,0.83,FUSE_CONSENSUS_CLUSTER
XO.LD38..HH.2018.05.27.10.36.29,P,main,FUSE,AUTO_FUSE,4,True,True,0.712,0.951,FUSE_CONSENSUS_CLUSTER
XO.LD38..HH.2018.05.27.10.36.29,S,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.863,0.951,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LA39..HH.2018.05.29.06.56.15,P,main,FUSE,AUTO_FUSE,3,True,True,0.848,0.947,FUSE_CONSENSUS_CLUSTER
XO.LA39..HH.2018.05.29.06.56.15,S,main,FUSE,AUTO_FUSE,3,True,True,0.848,0.947,FUSE_CONSENSUS_CLUSTER
XO.LT14..HH.2018.05.30.01.52.09,P,main,ABSTAIN,NO_DECISIVE_EVIDENCE_BETWEEN_MODELS,3,True,False,0.672,0.823,NO_DECISIVE_EVIDENCE_BETWEEN_MODELS
XO.LA28..HH.2018.05.30.01.52.24,S,main,ABSTAIN,NO_DECISIVE_EVIDENCE_BETWEEN_MODELS,3,True,False,0.269,0.882,NO_DECISIVE_EVIDENCE_BETWEEN_MODELS
XO.LA39..HH.2018.05.30.08.39.12,S,main,FUSE,AUTO_FUSE,3,True,True,0.819,0.878,FUSE_CONSENSUS_CLUSTER
XO.LD36..HH.2018.05.29.00.36.40,P,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,False,0.616,0.83,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LD41..HH.2018.05.29.07.10.38,P,holdout,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,False,0.364,0.728,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LT06..HH.2018.05.29.15.14.24,P,main,FUSE,AUTO_FUSE,3,True,True,0.86,0.943,FUSE_CONSENSUS_CLUSTER
XO.LT06..HH.2018.05.29.15.14.24,S,main,FUSE,AUTO_FUSE,3,True,True,0.86,0.943,FUSE_CONSENSUS_CLUSTER
XO.LT10..HH.2018.05.29.15.14.28,P,main,FUSE,AUTO_FUSE,3,True,True,0.801,0.882,FUSE_CONSENSUS_CLUSTER
XO.LT10..HH.2018.05.29.15.14.28,S,main,FUSE,AUTO_FUSE,3,True,True,0.801,0.882,FUSE_CONSENSUS_CLUSTER
XO.LD38..HH.2018.05.29.16.20.11,P,holdout,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.861,0.955,INSUFFICIENT_EVIDENCE_FOR_SELECTION
